	74629
UNITED STATES DEPARTMENT OF COMMERCE OFFICE OF TECHNOLOGY PLICY	1
UNITED STATES COMMISSION ON CIVIL RIGHTS WESTERN REGIONAL OFFICE	1
NATIONAL PERFORMANCE REVIEW SUPT OF DOCS UNITED STATES GPO DISTRIBUTOR	1
OFFICE OF REGIONAL OPERATIONS AND STATE/LOCAL RELATIONS	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT OFFICE OF SCIENCE PLANNING AND REGULATORY EVALUATION CENTER FOR ENVIRONMENTAL RESEARCH INFORMATION	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY STRATEGIC STUDIES UNIT	1
OFFICE OF AIR QUALITY PLANNING AND STANDARDS AND AIR AND ENERGY ENGINEERING RESEARCH LABORATORY UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
DIVISION OF ENGINEERING STANDARDS OFFICE OF STANDARDS DEVELOPMENT UNITED STATES NUCLEAR REGULATORY COMMISSSION	1
NATIONAL TECHNICAL INFORMATIAON SERVICE	1
AVAILABLE FROM GOP SALES PROGRAM DIVISION OF TECHNICAL INFORMATION AND DOCUMENT CONTROL UNITED STATES NUCLEAR REGULATORY COMMISSION	1
DIVISION OF SITING HEALTH AND SAFEGUARDS STANDARDS OFFICE OF STANDARDS DEVELOPEMENT UNITED STATES NUCLEAR REGULATORY COMMISSION	1
DIVISION OF SAFEGUARDS OFFICE OF NUCLEAR MATERIALS SAFETY AND SAFEGUARDS UNITED STATES NUCLEAR REGULATORY COMMISSION	1
UNITED STATES NUCLEAR REGULATORY COMMISSION DIVISION OF REACTOR SAFETY RESEARCH OFFICE OF NUCLEAR REGULATORY RESEARCH	1
OFFICE OF NUCLEAR REGULATORY RESEARCH DIVISION OF REACTOR SAFETY RESEARCH UNITED STATES NUCLEAR REGULATORY COMMISSION	1
GENERAL RADIATION STANDARDS BRANCH CRITERIA AND STANDARDS DIVISION OFFICE OF RADIATION PROGRAMS UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
OFFICE OF NUCLEAR REACTOR REGULATION UNITED STATES NUCLEAR REGULATORY COMMISSION AVAILABLE FROM GPO SALES PROGRAM DIVISION OF TECHNICAL INFORMATION AND DOCUMENT CONTROL UNITED STATES NUCLEAR REGULATORY COMMISSION	1
UNITED STATES NUCLEAR REGULATORY COMMISSION OFFICE OF STANDARDS DEVELOPMENT DIVISION OF SITING HEALTH AND SAFEGUARDS STANDARDS	1
NUCLEAR REGULATORY COMMISSION OFFICE OF NUCLEAR REGULATORY RESEARCH DIVISION OF REACTOR SAFETY	1
UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF INDIAN AFFAIRS 1957	1
AVAILABLE TO PUBLIC THROUGH NATAIONAL TECHNICAL INFORMATION SERVICE	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF WATER PLANNING AND STANDARDS ECONOMIC ANALYSIS STAFF	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT CORVALLIS ENVIRONMENTAL RESEACH LABORATORY	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY INTERAGENCY WORKING GROUP ON MEDICAL RADIATION SUBCOMMITTEE ON TECHNIS OF EXPOSURE PREVENTION	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF AIR AND WATER PROGRAMS MONITORING AND DATA SUPPORT DIVISION DATA REPORTING BRANCH	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF ANALYSIS AND EVALUATION OFFICE OF WATER AND HAZARDOUS MATERIAL	1
UNITED STATES BUREAU OF LAND MANAGEMENT NATIONAL APPLIED RESOURCE SCIENCES CENTER	1
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF PUBLIC AND INDIAN HOUSING	1
AVALIABLE FROM GPO SALES PROGRAM DIVISION OF TECHNICAL INFORMATION AND DOCUMENT CONTROL UNITED STATES NUCLEAR REGULATORY COMMISSION	1
DIVISION OF PROGRAM DEVELOPMENT OFFICE OF INSPECTION AND ENFORCEMENT UNITED STATES NUCLEAR REGULATORY COMMISSION	1
OJJDP	1
DIVISION OF ENGINEERING OFFICE OF NUCLEAR REACTOR REGULATION UNITED STATES NUCLEAR REGULATORY COMMISSION AVAILABLE FROM GPO SALES PROGRAM DIVISION OF TECHNICAL INFORMATION AND DOCUMENT CONTROL UNITED STATES NUCLEAR REGULATORY COMMISSION	1
AVAILABLE FROM GPO SALE PROGRAM DIVISION OF TECHNICAL INFORMATION AND DOCUEMENT CONTROL UNITED STATES NUCLEAR REGULATORY COMMISSION A SPRINGFIELD VA	1
NUCLEAR REGULATORY COMMISSION RESEARCH DIVISION	1
OFFICE OF WATER PLANNING AND STANDARDS MONITORING AND DATA SUPPORT DIVISION	1
UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE FOOD AND DRUG ADMINISTRATION OFFICE OF REGULATORY AFFAIRS OFFICE OF REGIONAL OPERATIONS	1
UNITED STATES DEPARTMENT OF ENERGY CONSERVATION AND RENEWABLE ENERGY	1
CRITERIA AND EVALUATION DIVISION OFFICE OF PESTICIDE PROGRAMS UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
OFFICE OF DRINKING WATER	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
NFEC	1
HEALTH EFFECTS RESEARCH LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY SPRINGFIELD VA DISTRIBUTED BY NATIONAL TECHNICAL INFORMATION SERVICE	1
CLINICAL CENTER COMMUNICATIONS	1
BUREAU OF PRIMARY HEALTH CARE UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE HEALTH RESOURCES AND SERVICES ADMINISTRATION	1
OFFICE OF WATER OFFICE OF WASTEWATER ENFORCEMENT AND COMPLIANCE	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT CENTER FOR ENVIRONMENTAL RESEARCH INFORMATION RISK REDUCTION ENGINEERING LABORATORY	1
DIVISION OF SYSTEMS TECHNOLOGY OFFICE OF NUCLER REACTOR REGULATION UNITED STATES NUCLEAR REGULATORY COMMISSION	1
UNITED STATES DEPARTMENT OF ENERGY OFFICE OF CONSERVATION AND RENEWABLE ENERGY RESIDENTIAL AND CONSERVATION DIVISION	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT TECHNICAL INFORMATION STAFF	1
NATIONAL PARK SERVICE MUSEUM MANAGEMENT PROGRAM NATIONAL CENTER FOR CULTURAL RESOURCES STEWARDSHIP AND PARTNERSHIP PROGRAMS	1
NASA HISTORY OFFICE	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY RESEARCH AND DEVELOPMENT ROBERT S KERR ENVIRONMENTAL RESEARCH LABORATORY	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY ROBERT S KERR LABORATORY	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF ENFORCEMENT	1
OFFICE OF TESTING AND EVALUATION OFFICE OF PESTICIDES AND TOXIC SUBSTANCES UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
UNITED STEELWORKERS OF AMERICA	1
CRITERIA AND STANDARDS DIVISION OFFICE OF DRINKING WATER UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
PREPARED FOR OFFICE OF TOXIC SUBSTANCES ENVIRONMENTAL PROTECTION AGENCY	1
UNITED STATES DEPARTMENT OF ENERGY ASSISTANT SECRETARY FOR ENERGY TECHNOLOGY DIVISION OF REACTOR RESEARCH AND TECHNOLOGY	1
DOCUMENT EXPEDITION PROJECT EXCHANGE AND GIFT DIVISION LIBRARY OF CONGRESS	1
DEPARTMENT OF HEALTH AND HUMAN SERVICES UNITED STATES FOOD AND DRUG ADMINISTRATION OFFICE OF REGULATORY AFFAIRS OFFICE OF ENFORCEMENT DIVISION OF COMPLIANCE POLICY	1
DIVISION OF DENTAL HEALTH BUREAU OF HEALTH MANPOWER EDUCATION NATIONAL INSTITUTES OF HEALTH	1
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION NATIONAL MARINE FISHERIES SERVICE CURRENT ECONOMIC ANALYSIS DIVISION	1
DEPARTMENT OF ENERGY RESEARCH ASSISTANT SECRETARY FOR ENERGY TECHNOLOGY DIVISION OF SOLAR TECHNOLOGY	1
DEPARTMENT OF TRANSPORTATION OFFICE OF SECRETARY OFFICE OF SAFETY AFFAIRS	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY REGION X WATER DIVISION	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF GREAT LAKES COORDINATOR	1
FOOD AND DRUG ADMINISTRATION OFFICE OF CONSUMER AFFAIRS	1
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION DIRECTORATE OF COMPLIANCE PROGRAMS	1
OFFICE OF INDIAN EDUCATION PROGRAMS BRANCH OF RESEARCH AND POLICY ANALYSIS	1
SAVANNAH RIVER OPERATIONS OFFICE	1
UNITED STATES DEPARTMENT OF TRANSPORTATION RESEARCH AND SPECIAL PROGRAMS DIRECTORATE OFFICE OF UNIVERSITY RESEARCH	1
FEDERAL ENERGY ADMINISTRATION ENERGY CONSERVATION AND ENVIRONMENT NATIONAL ENERGY CONSERVATION PROGRAMS	1
HISTORICAL RECORD SURVEY STATE ARCHIVES SURVEY	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY AVAILABLE FROM NATIONAL TECHNICAL INFORMATION SERVICE UNITED STATES DEPARTMENT OF COMMERCE SPRINGFIELD VA	1
PUBLISHED BY MUSKEGON COUNTY WAR CHEST	1
FOUNDATION?	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT OFFICE OF POLICY DEVELOPMENT AND RESEARCH OFFICE OF ECONOMIC AFFAIRS DIVISION OF HOUSING AND DEMOGRAPHIC ANALYSIS	1
JOINT HISTORY OFFICE	1
AVAILABLE TO PUBLIC FROM UNITED STATES DEPARTMENT OF COMMERCE NATIONAL TECHNICAL INFORMATION SERVICE	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY STRATEGIC STUDIES STAFF OFFICE OF POLICY ANALYSIS OFFICE OF POLICY PLANNING AND EVALUATION	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT OFFICE OF ENVIRONMENTAL ENGINEERING AND TECHNOLOGY	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF ENERGY MINERALS AND INDUSTRY	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT ENVIRONMENTAL RESEARCH CENTER	1
AVAILABLE TO BUBLIC THROUGH NATIONAL TECHNICAL INFORMATION SERVICE	1
ENVIROMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT CORVALLIS ENVIRONMENTAL RESEARCH LABORATORY	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT OFFICE OF HEALTH AND ECOLOGICAL EFFECTS ENVIRONMENTAL RESEARCH LABORATORY	1
ENVIRONMENTAL RESEARCH LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT ENVIRONMENTAL RESEARCH LABORATORY	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT ENERGY MINERALS AND INDUSTRY	1
ENVIRONMENTAL PROTECTION AGENCY INTERAGENCY WORKING GROUP ON MEDICAL RADIATION SUBCOMMITTEE ON TECHNIC OF EXPOSURE PREVENTION	1
DEPARTMENT OF TRANSPORTATION OFFICE OF HIGH SPEED GROUND TRANSPORTATION	1
UNITED STATES DEPARTMENT OF EDUCATION OFFICE OF EDUCATIONAL RESEARCH AND IMPROVEMENT NATIONAL CENTER FOR EDUCATION STATISTICS OFFICE OF RESEARCH	1
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE NORTH ATLANTIC REGIONAL OFFICE	1
ECONOMIC ANALYSIS BRANCH BENEFITS AND USE DIVISION OFFICE OF PESTICIDE PROGRAMS UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
OFFICE OF SOLID WASTE WASTE MANAGEMENT AND ECONOMICS DIVISION UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
UNITED STATES DEPARTMENT OF COMMERCE NATIONAL OCEANOGRAPHIC AND ATMOSPHERIC ADMINISTRATION ENVIRONMENTAL RESEARCH LABORATORIES	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF PLANNING AND EVALUATION ECONOMIC ANALYSIS DIVISION	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF ENVIRONMENTAL ENGINEERING AND TECHNOLOGY	1
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL RAILROAD ADMINISTRATION OFFICE OF FREIGHT SYSTEMS	1
DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTARTION OFFICE OF RESEARCH AND DEVELOPMENT SPRINGFIELDVA	1
AVAILABLE TO PUBLID THROUGH NATIONAL TECHNICAL INFORMATION SERVICE	1
UNITED STATES ENERGY RESEARCH AND DEVELOPMENT ADMINISTRATION ASSISTANT ADMINISTRATOR FOR FOSSIL ENERGY SPRINGFIELD VA AVAILABLE FROM NATIONAL TECHNICAL INFORMATION SERVICE NTIS	1
NATIONAL PARK SERVICE CULTURAL RESOURCES DIVISION COLUMBIA CASCADES SYSTEM SUPPORT OFFICE	1
UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE NORTHEASTERN AREA STATE AND PRIVATE FORESTRY APPALACHIAN INTEGRATED PEST MANAGEMENT	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF ENVIRONMENTAL ENGINEERING AND TECHNOLOGY OFFICE OF RESEARCH AND DEVELOPMENT	1
INDUSTRIAL ENVIRONMENTAL RESEARCH LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENT PROTECTION AGENCY	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT HEALTH RESEARCH HEALTH EFFECTS RESEARCH LABORATORY	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT LAND USE AND COMPREHENSIVE PLANNING STAFF	1
OFFICE OF ENERGY MINERALS AND INDUSTRY OFFICE OF RESEARCH AND DEVELOPMENT ENVIRONMENTAL PROTECTION AGENCY	1
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL RAILROAD ADMINISTRATION NORTHEAST CORRIDOR PROJECT	1
WYNKOOP HALLENBACK CRAWFORD CO STATE PRINTERS	1
UNITED STATES DEPARTMENT OF ENERGY OFFICE OF ADMINISTRATION AND MANAGEMENT ENERGY MANAGEMENT AND FACILITIES EVALUATION DIVISION	1
AVAILABLE FROM GPO SALES PROGRAM UNITED STATES NUCLEAR REGULATORY COMMISSION	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT OFFICE OF HEALTH AND ECOLOGICAL EFFECTS HEALTH EFFECTS RESEARCH LABORATORY	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF RESEARCH AND DEVELOPMENT OFFICE OF HEALTH AAND ECOLOGICAL EFFECTS HEALTH EFFECTS RESEARCH LABORATORY	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF PESTICIDE PROGRAMS TECHNICAL SERVICES DIVISION CHEMICAL AND BIOLOGICAL INVESTIGATIONS BRANCH NORTHWEST BIOLOGICAL INVESTIGATIONS STATION PLANT BIOLOGY LABORATORY	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF ENFORCEMENT OFFICE OF GENERAL ENFORCEMENT	1
UNITED STATES DEPARTMENT OF TRANSPORTATION OFFICE OF TRANSPORTATION SYSTEMS ANALYSIS AND INFORMATION	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY REGION X AIR COMPLIANCE BRANCH	1
CHEMICAL ENGINEERING BRANCH ECONOMICS AND TECHNOLOGY DIVISION OFFICE OF TOXIC SUBSTANCES UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
COORDINATED AND PRODUCED BY UNITED STATES DEPARTMENT OF COMMERCE INTERNATIONAL TRADE ADMINISTRATION	1
OFFICE OF ELEMENTARY AND SECONDARY EDUCATION UNITED STATES DEPARTMENT OF EDUCATION	1
OFFICE OF POLICY AND STRATEGIC PLANNING DISTRIBUTOR	1
PEACE CORPS OFFICE OF WORLD WISE SCHOOLS	1
ENVIRONMENTAL RESPONSE BRANCH HAZARDOUS RESPONSE SUPPORT DIVISION OFFICE OF EMERGENCY AND REMEDIAL RESPONSE UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
PROGRAM ENGINEERING AND MAINTENANCE SERVICE	1
UNITED STATES DEPARTMENT OF ENERGY OFFICE OF HEALTH AND ENVIRONMENTAL RESEARCH	1
CHEMICAL CONTROL DIVISION OFFICE OF TOXIC SUBSTANCES UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
NATIONAL TECHNICAL INFORMATION SEVICE	1
UNITED STATES DEPARTMENT OF ENERGY SAN FRANCISCO OPERATIONS OFFICE	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF PESTICIDES AND TOXIC SUBSTANCES OFFICE OF TOXIC SUBSTANCES ECONOMICS AND TECHNOLOGY DIVISION REGULATORY IMPACTS BRANCH	1
UNITED STATES DEPARTMENT OF COMMERCE MARITIME ADMINISTRATION IN COOPERATION WITH TODD PACIFIC SHIPYARDS CORPORATION	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF WATER ENFORCEMENT OFFICE OF WATER PROGRAM OPERATIONS	1
ENVIRONMENTAL PROTECTION AGENCY OFFICE OF ENFORCEMENT	1
FEDERAL HIGHWAY ADMINISTRATION OFFICE OF RESEARCH AND DEVELOPMENT IMPLEMENTATION DIVISION	1
ENVIRONMENTAL PROTECTION AGENCY DIVISION OF STATIONARY SOURCE ENFORCEMENT	1
ENVIRONMENTAL PROTECTION AGENCY HAZARDOUS WASTE MANAGEMENT DIVISION OFFICE OF SOLID WASTE	1
OFFICE FOR HUMAN RESOURCES UNITED STATES FISH AND WILDLIFE SERVICE DEPARTMENT OF INTERIOR	1
NATIONAL BIOLOGICAL SERVICE COOPERATIVE PARK RESOURCES STUDIES UNIT SCHOOL OF RENEWABLE NATURAL RESOURCES	1
DIVISION OF REACTOR AND PLANT SYSTEMS OFFICE OF NUCLEAR REGULATORY RESEARCH UNITED STATES NUCLEAR REGULATORY COMMISSION	1
AVAILABLE NATIONAL TECHNICAL INFORMATION SERVICE UNITED STATES DEPARTMENT OF COMMERCE	1
UNITED STATES ENERGY RESEARCH AND DEVELOPMENT ADMINISTRATION OFFICE OF FOSSIL ENERGY	1
RESOURCES PLANNING GROUP DENVER SERVICE CENTER	1
NATURAL RESOURCES CONSERVATION SERVICE ECONOMIC RESEARCH SERVICE UNITED STATES DEPARTMENT OF AGRICULTURE	1
DEPARTMENT OF HEALTH AND HUMAN SERVICES PUBLIC HEALTH SERVICE BUREAU OF HEALTH PROFESSIONS OFFICE OF RESEARCH AND PLANNING WORKFORCE ANALYSIS AND RESEARCH BRANCH	1
SCHOOL OF COMMERCE ACCOUNTS AND FINANCE NEW YORK UNIVERSITY	1
NATIONAL BUREAU OF STANDARDS PLANT DIVISION-363	1
PUBLIC INFORMATION DEPARTMENT ERNEST ORLANDO LAWRENCE BERKELEY NATIONAL LABORATORY UNIVERSITY OF CALIFORNIA	1
DOCUMENT EXPEDITING DOCEX PROJECT EXCHANGE AND GIFT DIVISION LIBRARY OF CONGRESS DISTRIBUTORS	1
NATIONAL INSTITUTE OF MENTAL HEALTH ALCOHOL DRUG ABUSE AND MENTAL HEALTH ADMINISTRATION PUBLIC HEALTH SERVICE UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES	1
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE ROCK SIC MOUNTAIN SYSTEM SUPPORT OFFICE	1
OFFICE OF COMMUNICATIONS NATIONAL ENDOWMENT FOR ARTS	1
UNITED STATES DEPARTMENT OF TRANSPORTATION NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION NATIONAL INSTITUTE ON ALCOHOL ABUSE AND ALCOHOLISM	1
OFFICE OF HEALTH AND ENVIRONMENTAL RESEARCH OFFICE OF ENERGY RESEARCH UNITED STATES DEPARTMENT OF ENERGY	1
SYSTEMS AND RELIABILITY RESEARCH OFFICE OF NUCLEAR REGULATORY RESEARCH UNITED STATES NUCLEAR REGULATORY COMMISSION	1
UNITED STATES DEPARTMENT OF TRANSPORTATION OFFICE OF SECRETARY OFFICE OF ASSISTANT SECRETARY FOR GOVERNMENTAL AFFAIRS RESEARCH AND SPECIAL PROGRAMS ADMINISTRATION TRANSPORTATION SYSTEMS CENTER TECHNOLOGY SHARING OFFICE	1
UNITED STATES DEPARTMENT OF TRANSPORATION FEDERAL RAILROAD ADMINISTRATION OFFICE OF RESEARCH AND DEVELOPMENT	1
DIVISION OF REACTOR SAFETY RESEARCH OFFICE OF NUCLEAR REGULATORY RESEARCH UNITED STATES NUCLEAR REGULATORY COMMISION	1
FEDERAL RAILROAD ADMINISTRATION OFFICE OF RESEARCH DEVELOPMENT AND DEMONSTRATIONS	1
LUND HUMPHRIES PUBLISHERS	1
PUBLIC/PRIVATE VENTURES	1
OFFICE OF POLICY AND PLANNING DEPARTMENT OF EDUCATION	1
UTILITY FINANCE BRANCH DIVISION OF ENGINEERING OFFICE OF NUCLEAR REACTOR REGULATION UNITED STATES NUCLEAR REGULATORY COMMISSION	1
DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION AIRWAY FACILITIES SERVICE AIRWAY FACILITIES SECTOR	1
UNITED STATES GOVERTMENT PRINT OFFICE	1
DEPARTMENT OF TRANSPORTATION URBAN MASS TRANSPORTATION ADMINISTRATION OFFICE OF TECHNOLOGY DEVELOPMENT AND DEPLOYMENT OFFICE OF SOCIO-ECONOMIC RESEARCH AND SPECIAL PROJECTS	1
SOLID WASTE MANAGEMENT PUBLICATIONS DISTRIBUTION UNIT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
UNITED STATES DEPARTMENT OF INTERIOR FISH AND WILDLIFE SERVICE WESTERN WASHINGTON FISHERY RESOURCE OFFICE	1
ROCK ISLAND ARSENAL MUSEUM ROCK ISLAND ARSENAL	1
UNITED STATES DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT PUBLIC AND INDIAN HOUSING OFFICE OF CRIME PREVENTION AND SECURITY	1
UNITED STATES DEPARTMENT OF AGRICULTURE OFFICE OF PUBLIC AFFAIRS OFFICE OF INTERGOVERNMENTAL AFFAIRS NATIVE AMERICAN PROGRAMS	1
DEPARTMENT OF HEALTH AND HUMAN SERVICES SOCIAL SECURITY ADMINISTRATION OFFICE OF PROGRAMS OFFICE OF SUPPLEMENTAL SECURITY INCOME	1
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION POLICY PLANNING DIVISION	1
DEPARTMENT OF TRANSPORTATION FEDERAL RAILROAD ADMINISTRATION NORTHEAST CORRIDOR IMPROVEMENT PROJECT	1
UNITED STATES DEPARTMENT OF TRANSPORTATION URBAN MASS TRANSPORTATION ADMINISTRATION OFFICE OF TECHNOLOGY DEVELOPMENT AND DEPLOYMENT OFFICE OF SOCIO-ECONOMIC RESEARCH AND SPECIAL PROJECTS	1
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION REGION 15	1
WORLD DATA CENTER A--OCEANOGRAPHY	1
UNITED STATES DEPARTMENT OF EDUCATION OFFICE OF EDUCATIONAL RESEARCH AND IMPROVEMENT NATIONAL CENTER FOR EDUCATION STATISTICS OFFICE OF RESEARCH PROGRAMS FOR IMPROVEMENT OF PRACTICE	1
NATIONAL CENTER FOR HEALTH STATISTICS CENTERS FOR DISEASE CONTROL AND PREVENTION UNITED STATES DEPARTMENT OF HEALTH AND HUMAN SERVICES	1
SOUTH-EAST CONSORTIUM FOR INTERNATIONAL DEVELOPMENT	1
DIVISION OF O AND M TECHNICAL SERVICES ENGINEERING AND RESEARCH CENTER UNITED STATES DEPARTMENT OF INTERIOR BUREAU OF RECLAMATION	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY WATER PLANNING DVISION OFFICE OF SOLID WASTE	1
WATER ENGINEERING RESEARCH LABORATORY OFFICE OF RESEARCH AND DEVELOPMENT UNITED STATES ENVIRONMENTAL PROTECTION AGENCY	1
AVAILABLE THROUTH NATIONAL TECHNICAL INFORMATION SERVICE	1
PRODUCTIVITY IMPROVEMENT RESEARCH SECTION DIVISION OF INDUSTRIAL SCIENCE AND TECHNOLOGICAL INNOVATION NATIONAL SCIENCE FOUNDATION	1
CANALS STRUCTURES AND ROADS SECTION WATER CONVEYANCE BRANCH DIVISION OF DESIGN ENGINEERING AND RESEARCH CENTER BUREAU OF RECLAMATION	1
UNITED STATES DEPARTMENT OF TRANSPORTATION RESEARCH AND SPECIAL PROGRAMS DIRECTORATE	1
SUBMERGED CULTURAL RESOURCES UNIT INTERMOUNTAIN FIELD AREA NATIONAL PARK SERVICE	1
UNITED STATES DEPARTMENT OF INTERIOR NATIONAL PARK SERVICE NATIONAL CENTER FOR CULTURAL RESOURCES STEWARDSHIP AND PARTNERSHIPS HERITAGE PRESERVATION SERVICES PROGRAM TECHNICAL PRESERVATION SERVICES	1
MARINE CORPS SYSTEMS COMMAND	1
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY OFFICE OF PESTICIDE PROGRAMS REGISTRATION DIVISION	1
NASA LYNDON B JOHNSON SPACE CENTER	1
EG AND G IDAHO INC	1
AVAILABLE FROM GPO SALES PROGRAM DIVISION OF TECHNICAL INFORMATION ANND DOCUMENT CONTROL UNITED STATES NUCLEAR REGULATORY COMMISSION	1
UNITED STATES DEPARTMENT OF TRANSPORTATION RESEARCH AND SPECIAL PROGRAM ADMINISTRATION OFFICE OF UNIVERSITY RESEARCH	1
UNITED STATES DEPARTMENT OF ENERGY DIVISION OF WASTE ISOLATION	1
UNITED STATES DEPARTMENT OF TRANSPORTATION FEDERAL AVIATION ADMINISTRATION OFFICE OF ENVIRONMENTAL QUALITY HIGH ALTITUDE POLLUTION PROGRAM	1
UNITED STATES DEPARTMENT OF TRANSPORTATION URBAN MASS TRANSPORTATION ADMINISTRATION OFFICE OF TECHNOLOGY DEVELOPMENT AND DEPLOYMENT	1
DEPARTMENT OF TRANSPORTATION FEDERAL HIGHWAY ADMINISTRATION OFFICE OF PROGRAM AND POLICY PLANNING SOCIO-ECONOMIC STUDIES DIVISION	1
OFFICE OF FOSSIL ENERGY ENERGY RESEARCH AND DEVELOPMENT ADMINISTRATION SPRINGFIELD VA AVAILABLE FROM NATIONAL TECHNICAL INFORMATION SERVICE	1
AMERICAN PROBATION AND PAROLE ASSOCIATION	1
NHTS	1
NAVAL AIR WARFARE CENTER WEAPONS DIVISION	1
INTERAGENCY COMMITTEE ON OCEAN POLLUTION RESEARCH DEVELOPMENT AND MONITORING	1
