UA 5	1	
A 1170	1	Agriculture
A 12	1	Agriculture
ATC 75	1	
WA 333	1	
W 46	1	
I 5	1	Interior Department
SE 20	1	Securities and Exchange Commission
I 17	1	Interior Department
FS 12	1	
FS 22	1	
G 13	1	
J 10	1	Justice Department
AG 2	1	
T 41	1	Treasury Department
VB 1	1	
A 95	1	Agriculture
C 12	1	Commerce Department
